Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
0,1764562454.7527382,server_kem_keygen,0.001536057,0.00,0.00,39694336,40382464,,800,800
0,1764562454.7991388,server_kem_keygen,0.000884103,0.00,0.00,39809024,40505344,,800,800
65,1764562478.770466,kem_handshake,0.000020849|0.000016130|0.000034975,0.00,0.00,42795008,42795008,768,768,1536
66,1764562478.7715783,kem_handshake,0.000019856|0.000016340|0.000035226,0.00,0.00,42799104,42799104,768,768,1536
67,1764562478.7733448,kem_handshake,0.000048720|0.000035115|0.000043651,0.00,0.00,42778624,42778624,768,768,1536
68,1764562478.774514,kem_handshake,0.000020568|0.000015669|0.000033111,0.00,0.00,42778624,42778624,768,768,1536
69,1764562478.7756004,kem_handshake,0.000018524|0.000015439|0.000032620,0.00,0.00,42778624,42778624,768,768,1536
70,1764562478.7766502,kem_handshake,0.000018234|0.000015358|0.000032720,0.00,0.00,42778624,42778624,768,768,1536
71,1764562478.7777174,kem_handshake,0.000018514|0.000015208|0.000032961,0.00,0.00,42778624,42778624,768,768,1536
72,1764562478.7787845,kem_handshake,0.000019446|0.000015729|0.000032310,0.00,0.00,42778624,42778624,768,768,1536
73,1764562478.7798495,kem_handshake,0.000017562|0.000015038|0.000036618,0.00,0.00,42778624,42778624,768,768,1536
74,1764562478.7809293,kem_handshake,0.000023373|0.000015739|0.000032741,0.00,0.00,42778624,42778624,768,768,1536
75,1764562478.7820778,kem_handshake,0.000019416|0.000015779|0.000032500,0.00,0.00,42778624,42778624,768,768,1536
76,1764562478.7831557,kem_handshake,0.000018845|0.000015469|0.000032680,0.00,0.00,42778624,42778624,768,768,1536
77,1764562478.784226,kem_handshake,0.000019156|0.000015909|0.000032800,0.00,0.00,42778624,42778624,768,768,1536
78,1764562478.785295,kem_handshake,0.000018333|0.000016430|0.000032550,0.00,0.00,42778624,42778624,768,768,1536
79,1764562478.7863653,kem_handshake,0.000018133|0.000015389|0.000033853,0.00,0.00,42778624,42778624,768,768,1536
80,1764562478.7874227,kem_handshake,0.000018475|0.000015679|0.000032661,0.00,0.00,42778624,42778624,768,768,1536
81,1764562478.788476,kem_handshake,0.000018694|0.000015308|0.000032470,0.00,0.00,42778624,42778624,768,768,1536
82,1764562478.789599,kem_handshake,0.000019686|0.000015669|0.000034504,0.00,0.00,42778624,42778624,768,768,1536
83,1764562478.7906837,kem_handshake,0.000021540|0.000015739|0.000032630,0.00,0.00,42778624,42778624,768,768,1536
84,1764562478.7917418,kem_handshake,0.000018334|0.000015319|0.000032520,0.00,0.00,42778624,42778624,768,768,1536
85,1764562478.792783,kem_handshake,0.000018634|0.000015118|0.000033231,0.00,0.00,42778624,42778624,768,768,1536
86,1764562478.7940278,kem_handshake,0.000021971|0.000017092|0.000035777,0.00,0.00,42778624,42778624,768,768,1536
87,1764562478.7951343,kem_handshake,0.000021099|0.000016391|0.000033642,0.00,0.00,42778624,42778624,768,768,1536
88,1764562478.7962358,kem_handshake,0.000019416|0.000016010|0.000034344,0.00,0.00,42782720,42782720,768,768,1536
89,1764562478.7974017,kem_handshake,0.000021580|0.000016591|0.000035595,0.00,0.00,42786816,42786816,768,768,1536
90,1764562478.7986465,kem_handshake,0.000020819|0.000016150|0.000039293,0.00,0.00,42790912,42790912,768,768,1536
91,1764562478.799722,kem_handshake,0.000018765|0.000015819|0.000032680,0.00,0.00,42790912,42790912,768,768,1536
92,1764562478.8008218,kem_handshake,0.000019866|0.000027471|0.000032761,0.00,0.00,42795008,42795008,768,768,1536
93,1764562478.8019192,kem_handshake,0.000019185|0.000015719|0.000032790,0.00,0.00,42795008,42795008,768,768,1536
94,1764562478.8029768,kem_handshake,0.000022622|0.000015319|0.000032751,0.00,0.00,42795008,42795008,768,768,1536
95,1764562478.8040307,kem_handshake,0.000019145|0.000015338|0.000032490,0.00,0.00,42795008,42795008,768,768,1536
96,1764562478.8051157,kem_handshake,0.000019296|0.000015779|0.000032971,0.00,0.00,42795008,42795008,768,768,1536
97,1764562478.806332,kem_handshake,0.000021440|0.000015860|0.000034934,0.00,0.00,42799104,42799104,768,768,1536
98,1764562478.8074179,kem_handshake,0.000019617|0.000015839|0.000032240,0.00,0.00,42799104,42799104,768,768,1536
99,1764562478.808482,kem_handshake,0.000018915|0.000015699|0.000032701,0.00,0.00,42799104,42799104,768,768,1536
100,1764562478.809536,kem_handshake,0.000018885|0.000015770|0.000032801,0.00,0.00,42799104,42799104,768,768,1536
101,1764562478.810594,kem_handshake,0.000019145|0.000015528|0.000032740,0.00,0.00,42799104,42799104,768,768,1536
102,1764562478.811647,kem_handshake,0.000018244|0.000015669|0.000032560,0.00,0.00,42799104,42799104,768,768,1536
103,1764562478.8127317,kem_handshake,0.000018254|0.000015468|0.000032250,0.00,0.00,42799104,42799104,768,768,1536
104,1764562478.8138528,kem_handshake,0.000019556|0.000016481|0.000041887,0.00,0.00,42799104,42799104,768,768,1536
105,1764562478.8154247,kem_handshake,0.000022602|0.000017392|0.000036578,0.00,0.00,42799104,42799104,768,768,1536
106,1764562478.8165483,kem_handshake,0.000018785|0.000016050|0.000032810,0.00,0.00,42803200,42803200,768,768,1536
107,1764562478.8176346,kem_handshake,0.000019456|0.000015639|0.000032660,0.00,0.00,42803200,42803200,768,768,1536
108,1764562478.8186958,kem_handshake,0.000018344|0.000015338|0.000032611,0.00,0.00,42803200,42803200,768,768,1536
109,1764562478.819753,kem_handshake,0.000018354|0.000015568|0.000041717,0.00,0.00,42803200,42803200,768,768,1536
110,1764562478.8208468,kem_handshake,0.000018975|0.000015208|0.000037960,0.00,0.00,42803200,42803200,768,768,1536
111,1764562478.8220966,kem_handshake,0.000032370|0.000020979|0.000044563,0.00,0.00,42803200,42803200,768,768,1536
112,1764562478.823258,kem_handshake,0.000019186|0.000015549|0.000032790,0.00,0.00,42803200,42803200,768,768,1536
113,1764562478.824321,kem_handshake,0.000018895|0.000015248|0.000032560,0.00,0.00,42803200,42803200,768,768,1536
114,1764562478.8253815,kem_handshake,0.000018865|0.000015729|0.000032921,0.00,0.00,42803200,42803200,768,768,1536
115,1764562478.8264256,kem_handshake,0.000018505|0.000015498|0.000032841,0.00,0.00,42811392,42811392,768,768,1536
116,1764562478.8281746,kem_handshake,0.000060602|0.000038531|0.000075229,0.00,0.00,42799104,42799104,768,768,1536
117,1764562478.829625,kem_handshake,0.000028323|0.000018815|0.000043741,0.00,0.00,42799104,42799104,768,768,1536
118,1764562478.8309364,kem_handshake,0.000022682|0.000030276|0.000035936,0.00,0.00,42803200,42803200,768,768,1536
119,1764562478.832085,kem_handshake,0.000019205|0.000016079|0.000032460,0.00,0.00,42803200,42803200,768,768,1536
120,1764562478.8331478,kem_handshake,0.000018454|0.000015288|0.000032650,0.00,0.00,42803200,42803200,768,768,1536
121,1764562478.834924,kem_handshake,0.000018364|0.000022622|0.000032661,0.00,0.00,42803200,42803200,768,768,1536
122,1764562478.8360124,kem_handshake,0.000018684|0.000015508|0.000032700,0.00,0.00,42803200,42803200,768,768,1536
123,1764562478.8371367,kem_handshake,0.000019136|0.000016540|0.000033031,0.00,0.00,42803200,42803200,768,768,1536
124,1764562478.8390763,kem_handshake,0.000079397|0.000043149|0.000085728,0.00,0.00,42811392,42811392,768,768,1536
125,1764562478.8406026,kem_handshake,0.000020148|0.000016691|0.000033401,0.00,0.00,42811392,42811392,768,768,1536
126,1764562478.8421965,kem_handshake,0.000019606|0.000015849|0.000033452,0.00,0.00,42811392,42811392,768,768,1536
127,1764562478.8437226,kem_handshake,0.000042479|0.000032851|0.000068256,0.00,0.00,42807296,42807296,768,768,1536
128,1764562478.8449543,kem_handshake,0.000020158|0.000015829|0.000032219,0.00,0.00,42807296,42807296,768,768,1536
129,1764562478.8461516,kem_handshake,0.000024315|0.000021310|0.000034103,0.00,0.00,42807296,42807296,768,768,1536
130,1764562478.847369,kem_handshake,0.000020938|0.000016340|0.000035335,0.00,0.00,42807296,42807296,768,768,1536
131,1764562478.8484652,kem_handshake,0.000020498|0.000015869|0.000032810,0.00,0.00,42807296,42807296,768,768,1536
132,1764562478.849541,kem_handshake,0.000018705|0.000015589|0.000033171,0.00,0.00,42811392,42811392,768,768,1536
133,1764562478.8506064,kem_handshake,0.000019496|0.000015398|0.000032671,0.00,0.00,42811392,42811392,768,768,1536
134,1764562478.8516629,kem_handshake,0.000018214|0.000015369|0.000032870,0.00,0.00,42811392,42811392,768,768,1536
135,1764562478.8527005,kem_handshake,0.000017823|0.000015639|0.000032620,0.00,0.00,42811392,42811392,768,768,1536
136,1764562478.8537695,kem_handshake,0.000019335|0.000015739|0.000033122,0.00,0.00,42811392,42811392,768,768,1536
137,1764562478.8549383,kem_handshake,0.000020077|0.000020388|0.000041266,0.00,0.00,42811392,42811392,768,768,1536
138,1764562478.856156,kem_handshake,0.000019316|0.000017051|0.000033512,0.00,0.00,42811392,42811392,768,768,1536
139,1764562478.858252,kem_handshake,0.000055082|0.000022552|0.000045675,0.00,0.00,42811392,42811392,768,768,1536
140,1764562478.8598728,kem_handshake,0.000036879|0.000030967|0.000074578,0.00,0.00,42819584,42819584,768,768,1536
141,1764562478.8611531,kem_handshake,0.000018824|0.000015689|0.000032571,0.00,0.00,42819584,42819584,768,768,1536
142,1764562478.8622565,kem_handshake,0.000018565|0.000015539|0.000033241,0.00,0.00,42819584,42819584,768,768,1536
143,1764562478.8633912,kem_handshake,0.000019867|0.000016401|0.000037158,0.00,0.00,42819584,42819584,768,768,1536
144,1764562478.8645494,kem_handshake,0.000020207|0.000015899|0.000035045,0.00,0.00,42823680,42823680,768,768,1536
145,1764562478.86563,kem_handshake,0.000019496|0.000015679|0.000032811,0.00,0.00,42823680,42823680,768,768,1536
146,1764562478.866701,kem_handshake,0.000018555|0.000015388|0.000032621,0.00,0.00,42823680,42823680,768,768,1536
147,1764562478.8677633,kem_handshake,0.000018845|0.000015558|0.000032480,0.00,0.00,42823680,42823680,768,768,1536
148,1764562478.8688135,kem_handshake,0.000018514|0.000015679|0.000032560,0.00,0.00,42823680,42823680,768,768,1536
149,1764562478.869875,kem_handshake,0.000018374|0.000015088|0.000043099,0.00,0.00,42823680,42823680,768,768,1536
150,1764562478.870946,kem_handshake,0.000023423|0.000015659|0.000032510,0.00,14148.30,42827776,42827776,768,768,1536
151,1764562478.8720696,kem_handshake,0.000023444|0.000018745|0.000037159,0.00,0.00,42827776,42827776,768,768,1536
152,1764562478.8737133,kem_handshake,0.000024746|0.000017081|0.000041637,0.00,0.00,42827776,42827776,768,768,1536
153,1764562478.8748486,kem_handshake,0.000019075|0.000016050|0.000032700,0.00,0.00,42827776,42827776,768,768,1536
154,1764562478.8759043,kem_handshake,0.000018354|0.000015468|0.000032771,0.00,0.00,42827776,42827776,768,768,1536
155,1764562478.8769574,kem_handshake,0.000018514|0.000015329|0.000032610,0.00,0.00,42827776,42827776,768,768,1536
156,1764562478.8780832,kem_handshake,0.000018173|0.000015488|0.000032169,0.00,0.00,42827776,42827776,768,768,1536
157,1764562478.8791673,kem_handshake,0.000018505|0.000015538|0.000032199,0.00,0.00,42827776,42827776,768,768,1536
158,1764562478.8804872,kem_handshake,0.000022912|0.000016360|0.000039373,0.00,0.00,42831872,42831872,768,768,1536
159,1764562478.881748,kem_handshake,0.000024475|0.000016450|0.000034063,0.00,0.00,42831872,42831872,768,768,1536
160,1764562478.8828409,kem_handshake,0.000018474|0.000015519|0.000032781,0.00,0.00,42831872,42831872,768,768,1536
161,1764562478.8846486,kem_handshake,0.000065862|0.000039133|0.000076602,0.00,0.00,42815488,42815488,768,768,1536
162,1764562478.8862593,kem_handshake,0.000036166|0.000031999|0.000038080,0.00,0.00,42831872,42831872,768,768,1536
163,1764562478.8874588,kem_handshake,0.000020979|0.000016831|0.000033131,0.00,0.00,42831872,42831872,768,768,1536
164,1764562478.8886523,kem_handshake,0.000021059|0.000017012|0.000035035,0.00,0.00,42831872,42831872,768,768,1536
165,1764562478.8905818,kem_handshake,0.000052778|0.000027270|0.000049622,0.00,0.00,42815488,42815488,768,768,1536
166,1764562478.8918421,kem_handshake,0.000025377|0.000020448|0.000033942,0.00,0.00,42815488,42815488,768,768,1536
167,1764562478.8929567,kem_handshake,0.000019256|0.000015829|0.000033252,0.00,0.00,42819584,42819584,768,768,1536
168,1764562478.894009,kem_handshake,0.000018764|0.000015388|0.000032821,0.00,0.00,42819584,42819584,768,768,1536
169,1764562478.8950672,kem_handshake,0.000018434|0.000015629|0.000032640,0.00,0.00,42819584,42819584,768,768,1536
170,1764562478.896511,kem_handshake,0.000037620|0.000032600|0.000065521,0.00,0.00,42819584,42819584,768,768,1536
171,1764562478.897912,kem_handshake,0.000020928|0.000016271|0.000034414,0.00,0.00,42819584,42819584,768,768,1536
172,1764562478.899004,kem_handshake,0.000018814|0.000015478|0.000033311,0.00,0.00,42819584,42819584,768,768,1536
173,1764562478.9000773,kem_handshake,0.000018464|0.000015349|0.000032891,0.00,0.00,42819584,42819584,768,768,1536
174,1764562478.9011197,kem_handshake,0.000018063|0.000015208|0.000032711,0.00,0.00,42819584,42819584,768,768,1536
175,1764562478.9021893,kem_handshake,0.000018133|0.000014997|0.000032710,0.00,0.00,42819584,42819584,768,768,1536
176,1764562478.9032464,kem_handshake,0.000018104|0.000015238|0.000032771,0.00,0.00,42819584,42819584,768,768,1536
177,1764562478.9043674,kem_handshake,0.000040355|0.000014998|0.000033992,0.00,0.00,42823680,42823680,768,768,1536
178,1764562478.9060743,kem_handshake,0.000027611|0.000020658|0.000052156,0.00,0.00,42823680,42823680,768,768,1536
179,1764562478.9071903,kem_handshake,0.000018193|0.000015449|0.000033211,0.00,0.00,42823680,42823680,768,768,1536
180,1764562478.9082463,kem_handshake,0.000018454|0.000014998|0.000032851,0.00,0.00,42823680,42823680,768,768,1536
181,1764562478.9092915,kem_handshake,0.000017893|0.000015148|0.000032560,0.00,0.00,42823680,42823680,768,768,1536
182,1764562478.9103367,kem_handshake,0.000017763|0.000015349|0.000032560,0.00,0.00,42823680,42823680,768,768,1536
183,1764562478.911365,kem_handshake,0.000017883|0.000015378|0.000032611,0.00,0.00,42823680,42823680,768,768,1536
184,1764562478.9128962,kem_handshake,0.000041407|0.000021340|0.000042558,0.00,0.00,42831872,42831872,768,768,1536
185,1764562478.914313,kem_handshake,0.000035706|0.000017453|0.000037128,0.00,0.00,42831872,42831872,768,768,1536
186,1764562478.9154282,kem_handshake,0.000019586|0.000016000|0.000032890,0.00,0.00,42831872,42831872,768,768,1536
187,1764562478.9165654,kem_handshake,0.000020839|0.000016150|0.000033481,0.00,0.00,42835968,42835968,768,768,1536
188,1764562478.9178836,kem_handshake,0.000081651|0.000022131|0.000032860,0.00,7297.50,42835968,42835968,768,768,1536
189,1764562478.9189517,kem_handshake,0.000024275|0.000015449|0.000038771,0.00,0.00,42835968,42835968,768,768,1536
190,1764562478.9205515,kem_handshake,0.000049381|0.000036728|0.000073445,0.00,0.00,42823680,42827776,768,768,1536
191,1764562478.9221768,kem_handshake,0.000049752|0.000043611|0.000074989,0.00,0.00,42835968,42835968,768,768,1536
192,1764562478.9236104,kem_handshake,0.000021910|0.000016700|0.000039923,0.00,0.00,42835968,42835968,768,768,1536
193,1764562478.924742,kem_handshake,0.000020447|0.000016159|0.000033672,0.00,0.00,42835968,42835968,768,768,1536
194,1764562478.9258344,kem_handshake,0.000018885|0.000015148|0.000033041,0.00,0.00,42835968,42835968,768,768,1536
195,1764562478.9268882,kem_handshake,0.000018805|0.000015529|0.000032540,0.00,0.00,42835968,42835968,768,768,1536
196,1764562478.9279315,kem_handshake,0.000023994|0.000015618|0.000032650,0.00,0.00,42835968,42835968,768,768,1536
197,1764562478.9290683,kem_handshake,0.000019686|0.000015548|0.000036367,0.00,0.00,42835968,42835968,768,768,1536
198,1764562478.9306552,kem_handshake,0.000053709|0.000036417|0.000081080,0.00,0.00,42831872,42831872,768,768,1536
199,1764562478.932371,kem_handshake,0.000066192|0.000022932|0.000040525,0.00,0.00,42831872,42831872,768,768,1536
200,1764562478.9334974,kem_handshake,0.000019185|0.000016150|0.000032941,0.00,0.00,42831872,42831872,768,768,1536
201,1764562478.9345698,kem_handshake,0.000020719|0.000015759|0.000032651,0.00,0.00,42831872,42831872,768,768,1536
