Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,server_sign_s,final_key_hex
54,1764450473.4036644,0.000022232,0.000015939,0.000034062,0.000032560,0.000041256,0.000047097,0eada4f616e6efb1a26da8ba5c209f48e7b9a32bb9a8c643ab5ac450db250a32
55,1764450473.4062326,0.000036979,0.000018925,0.000043781,0.000037269,0.000041406,0.000084656,610502a5a4411e4ce013ffee793085d8a2eb644f6be02d3823f1d89e644842e3
56,1764450473.4087036,0.000028973,0.000017031,0.000030106,0.000061263,0.000059169,0.000081100,2453c848e37f66c4b518da5b0755b927a5ca460dc04daff940732fb41844c399
57,1764450473.4110823,0.000029534,0.000016721,0.000032640,0.000063006,0.000069808,0.000083444,b199e2b154f81602363d5ce3adaa85531c43c895e98478b1cef542a7823ccc9d
58,1764450473.4136653,0.000028552,0.000016831,0.000053198,0.000056424,0.000070280,0.000098421,cd0197aa4084ba1c78e7f55decf9715fdababf24e5564707497acb156dc226db
59,1764450473.4167879,0.000034343,0.000019195,0.000042598,0.000045774,0.000053008,0.000094755,117eae46c809b8286ccf073e88a1aee07a1676a2a67248fa763b0e5cf72d01ca
60,1764450473.4194288,0.000033723,0.000019165,0.000028242,0.000067254,0.000077563,0.000103772,e47a62e0768ab192e08541c8a30552dc23d6a69780401757706c743bba5c779b
61,1764450473.4228876,0.000035615,0.000018695,0.000086971,0.000078866,0.000094815,0.000083774,07fe170f90f4c2cdb384819e0db2d5408bbe9fa02d31eeae86e1dd89d3e74424
62,1764450473.4256258,0.000041296,0.000021901,0.000029034,0.000060752,0.000065050,0.000085528,5351b7ae35ede83ac1ee9b11f9965ff6d5c5dad59cfbae602e169e2d119e6180
63,1764450473.4281058,0.000026619,0.000016190,0.000040705,0.000053259,0.000050213,0.000091629,0fb42f0c74f4edaebe3257a0803ee0b3a47c2a8dbf8742765268ebe5f24ce760
64,1764450473.4309797,0.000030086,0.000016991,0.000062295,0.000047588,0.000057667,0.000117356,0dd8b9cd5950858336ae5170bc7c35d7623df84fea95780f49f682fc02717516
65,1764450473.4335961,0.000040455,0.000018504,0.000026138,0.000061494,0.000057957,0.000101497,5c2e00082481c6642964bc0d53079ea4f8c2b88f7024cca44835a8514b9f8d73
66,1764450473.4366057,0.000047638,0.000032160,0.000096919,0.000060161,0.000058949,0.000092291,f614de9d4419107f4d47770c861cb41750713e907e634563f43021d5a9a566af
67,1764450473.4406312,0.000050824,0.000027340,0.000097320,0.000082091,0.000105034,0.000092080,a31188739793d0492618ada4e5d65fe2e7edf59418b021c22e5ee0ffe1957d1d
68,1764450473.4435353,0.000046726,0.000020849,0.000025046,0.000059790,0.000064388,0.000078746,7e773c1f68ed7737dc3d76c78e017760030799d6c2c609545a732059615b3afc
69,1764450473.446468,0.000025587,0.000015679,0.000074668,0.000065330,0.000053188,0.000086961,8c52f6d939aa55d4819edf9f07d3d437b3f898ba97b2fc2edd790dc1c235199f
70,1764450473.4497745,0.000047668,0.000020257,0.000054951,0.000053769,0.000070470,0.000091960,c05edc505056dce22dcc24815d142a3f6ea4db935ff762499df6b898f153bb4c
