Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
55,1764450473.4054525,kem_handshake,0.000041406|0.000037269|0.000084656,0.00,0.00,43491328,43491328,768,768,1536
56,1764450473.408052,kem_handshake,0.000059169|0.000061263|0.000081100,0.00,0.00,43491328,43491328,768,768,1536
57,1764450473.410418,kem_handshake,0.000069808|0.000063006|0.000083444,0.00,0.00,43491328,43491328,768,768,1536
58,1764450473.4128149,kem_handshake,0.000070280|0.000056424|0.000098421,0.00,0.00,43491328,43491328,768,768,1536
59,1764450473.4156559,kem_handshake,0.000053008|0.000045774|0.000094755,0.00,0.00,43495424,43495424,768,768,1536
60,1764450473.4187644,kem_handshake,0.000077563|0.000067254|0.000103772,0.00,0.00,43495424,43495424,768,768,1536
61,1764450473.4215968,kem_handshake,0.000094815|0.000078866|0.000083774,0.00,0.00,43495424,43495424,768,768,1536
62,1764450473.4250226,kem_handshake,0.000065050|0.000060752|0.000085528,0.00,0.00,43495424,43495424,768,768,1536
63,1764450473.427262,kem_handshake,0.000050213|0.000053259|0.000091629,0.00,0.00,43495424,43495424,768,768,1536
64,1764450473.4301813,kem_handshake,0.000057667|0.000047588|0.000117356,0.00,0.00,43495424,43495424,768,768,1536
65,1764450473.432852,kem_handshake,0.000057957|0.000061494|0.000101497,0.00,0.00,43495424,43495424,768,768,1536
66,1764450473.4357538,kem_handshake,0.000058949|0.000060161|0.000092291,0.00,0.00,43495424,43495424,768,768,1536
67,1764450473.4395723,kem_handshake,0.000105034|0.000082091|0.000092080,0.00,0.00,43499520,43499520,768,768,1536
68,1764450473.442908,kem_handshake,0.000064388|0.000059790|0.000078746,0.00,0.00,43499520,43499520,768,768,1536
69,1764450473.445397,kem_handshake,0.000053188|0.000065330|0.000086961,0.00,0.00,43499520,43499520,768,768,1536
70,1764450473.4488888,kem_handshake,0.000070470|0.000053769|0.000091960,0.00,0.00,43499520,43499520,768,768,1536
71,1764450473.4513867,kem_handshake,0.000058498|0.000054761|0.000074137,0.00,0.00,43503616,43503616,768,768,1536
72,1764450473.453798,kem_handshake,0.000048840|0.000053710|0.000097981,0.00,0.00,43503616,43503616,768,768,1536
73,1764450473.456297,kem_handshake,0.000065961|0.000064038|0.000172188,0.00,0.00,43503616,43503616,768,768,1536
74,1764450473.4590075,kem_handshake,0.000061524|0.000063828|0.000117837,0.00,4963.70,43503616,43503616,768,768,1536
75,1764450473.4617984,kem_handshake,0.000054942|0.000056635|0.000082943,0.00,0.00,43503616,43503616,768,768,1536
76,1764450473.4647095,kem_handshake,0.000082262|0.000057546|0.000091278,0.00,0.00,43507712,43507712,768,768,1536
77,1764450473.4671116,kem_handshake,0.000048089|0.000051425|0.000040294,0.00,0.00,43507712,43507712,768,768,1536
78,1764450473.469057,kem_handshake,0.000075329|0.000068165|0.000111787,0.00,0.00,43507712,43507712,768,768,1536
79,1764450473.4722261,kem_handshake,0.000073115|0.000074027|0.000122767,0.00,0.00,43507712,43507712,768,768,1536
80,1764450473.4749155,kem_handshake,0.000042990|0.000036888|0.000056073,0.00,0.00,43507712,43507712,768,768,1536
81,1764450473.4767566,kem_handshake,0.000047508|0.000034383|0.000063628,0.00,0.00,43507712,43507712,768,768,1536
82,1764450473.479374,kem_handshake,0.000099203|0.000091589|0.000107479,0.00,0.00,43511808,43511808,768,768,1536
83,1764450473.4828632,kem_handshake,0.000109702|0.000090617|0.000123679,0.00,0.00,43511808,43511808,768,768,1536
84,1764450473.4856653,kem_handshake,0.000055292|0.000042819|0.000066272,0.00,0.00,43511808,43511808,768,768,1536
85,1764450473.488397,kem_handshake,0.000075900|0.000099334|0.000142724,0.00,0.00,43515904,43515904,768,768,1536
86,1764450473.4916167,kem_handshake,0.000063678|0.000061023|0.000083594,0.00,0.00,43515904,43515904,768,768,1536
87,1764450473.4944172,kem_handshake,0.000050614|0.000042428|0.000075669,0.00,0.00,43515904,43515904,768,768,1536
88,1764450473.4973593,kem_handshake,0.000062506|0.000045565|0.000072274,0.00,0.00,43515904,43515904,768,768,1536
89,1764450473.5004404,kem_handshake,0.000096999|0.000092100|0.000137263,0.00,0.00,43515904,43515904,768,768,1536
90,1764450473.5032434,kem_handshake,0.000051685|0.000049731|0.000056404,0.00,0.00,43515904,43515904,768,768,1536
91,1764450473.5060272,kem_handshake,0.000068657|0.000073425|0.000113390,0.00,0.00,43515904,43515904,768,768,1536
92,1764450473.5097303,kem_handshake,0.000061433|0.000061644|0.000088383,0.00,0.00,43515904,43515904,768,768,1536
93,1764450473.5130956,kem_handshake,0.000165877|0.000080308|0.000125963,0.00,0.00,43515904,43515904,768,768,1536
94,1764450473.5166128,kem_handshake,0.000048299|0.000039082|0.000054521,0.00,0.00,43515904,43515904,768,768,1536
95,1764450473.518947,kem_handshake,0.000071232|0.000063297|0.000103842,0.00,0.00,43515904,43515904,768,768,1536
96,1764450473.5211112,kem_handshake,0.000064649|0.000051706|0.000087621,0.00,0.00,43515904,43515904,768,768,1536
97,1764450473.5234087,kem_handshake,0.000044933|0.000036968|0.000051625,0.00,0.00,43515904,43515904,768,768,1536
98,1764450473.5256474,kem_handshake,0.000048058|0.000036036|0.000062786,0.00,0.00,43515904,43515904,768,768,1536
99,1764450473.527548,kem_handshake,0.000056224|0.000046687|0.000085598,0.00,0.00,43515904,43515904,768,768,1536
100,1764450473.530034,kem_handshake,0.000066744|0.000070701|0.000103601,0.00,0.00,43515904,43515904,768,768,1536
101,1764450473.5333107,kem_handshake,0.000058488|0.000069047|0.000076652,0.00,0.00,43515904,43515904,768,768,1536
102,1764450473.5358057,kem_handshake,0.000121153|0.000070871|0.000125171,0.00,0.00,43515904,43515904,768,768,1536
103,1764450473.5382345,kem_handshake,0.000050924|0.000048539|0.000094194,0.00,0.00,43515904,43515904,768,768,1536
104,1764450473.5416908,kem_handshake,0.000045514|0.000040184|0.000107058,0.00,0.00,43515904,43515904,768,768,1536
105,1764450473.5450635,kem_handshake,0.000065721|0.000063698|0.000091749,0.00,0.00,43515904,43515904,768,768,1536
106,1764450473.547958,kem_handshake,0.000082191|0.000073586|0.000122085,0.00,0.00,43520000,43520000,768,768,1536
107,1764450473.5508647,kem_handshake,0.000062215|0.000060182|0.000094344,0.00,0.00,43520000,43520000,768,768,1536
108,1764450473.5532358,kem_handshake,0.000057637|0.000058248|0.000087732,0.00,0.00,43520000,43520000,768,768,1536
109,1764450473.555891,kem_handshake,0.000080739|0.000056324|0.000102809,0.00,0.00,43520000,43520000,768,768,1536
110,1764450473.5583239,kem_handshake,0.000062485|0.000053850|0.000084155,0.00,0.00,43520000,43520000,768,768,1536
111,1764450473.5601594,kem_handshake,0.000030787|0.000028402|0.000038441,0.00,0.00,43520000,43520000,768,768,1536
112,1764450473.5626814,kem_handshake,0.000050022|0.000051345|0.000088694,0.00,0.00,43520000,43520000,768,768,1536
113,1764450473.5658116,kem_handshake,0.000048459|0.000039874|0.000054941,0.00,0.00,43520000,43520000,768,768,1536
114,1764450473.5679772,kem_handshake,0.000035876|0.000030597|0.000049411,0.00,0.00,43520000,43520000,768,768,1536
115,1764450473.570043,kem_handshake,0.000057907|0.000067475|0.000082151,0.00,0.00,43520000,43520000,768,768,1536
116,1764450473.5736177,kem_handshake,0.000102940|0.000081110|0.000126413,0.00,0.00,43520000,43520000,768,768,1536
117,1764450473.5766559,kem_handshake,0.000053599|0.000061544|0.000075018,0.00,0.00,43520000,43520000,768,768,1536
118,1764450473.579437,kem_handshake,0.000086550|0.000062475|0.000125722,0.00,0.00,43520000,43520000,768,768,1536
119,1764450473.582288,kem_handshake,0.000047849|0.000038080|0.000052928,0.00,0.00,43520000,43520000,768,768,1536
120,1764450473.5839465,kem_handshake,0.000032390|0.000029164|0.000043089,0.00,0.00,43520000,43520000,768,768,1536
121,1764450473.5861385,kem_handshake,0.000040214|0.000038852|0.000059620,0.00,0.00,43520000,43520000,768,768,1536
122,1764450473.5897598,kem_handshake,0.000061103|0.000048790|0.000081881,0.00,0.00,43520000,43520000,768,768,1536
123,1764450473.592692,kem_handshake,0.000059209|0.000057285|0.000092772,0.00,0.00,43520000,43520000,768,768,1536
124,1764450473.5948768,kem_handshake,0.000044221|0.000038040|0.000054981,0.00,0.00,43520000,43520000,768,768,1536
125,1764450473.5981145,kem_handshake,0.000134598|0.000098773|0.000105545,0.00,0.00,43520000,43520000,768,768,1536
126,1764450473.602828,kem_handshake,0.000153654|0.000102279|0.000149145,0.00,0.00,43524096,43524096,768,768,1536
127,1764450473.6074154,kem_handshake,0.000065451|0.000058869|0.000083123,0.00,0.00,43524096,43524096,768,768,1536
128,1764450473.6118734,kem_handshake,0.000062265|0.000053258|0.000082722,0.00,0.00,43524096,43524096,768,768,1536
129,1764450473.616256,kem_handshake,0.000129730|0.000091299|0.000134528,0.00,0.00,43524096,43524096,768,768,1536
130,1764450473.6195693,kem_handshake,0.000060802|0.000048389|0.000065592,0.00,0.00,43524096,43524096,768,768,1536
131,1764450473.6238146,kem_handshake,0.000132384|0.000091259|0.000155186,0.00,0.00,43524096,43524096,768,768,1536
132,1764450473.6275306,kem_handshake,0.000073516|0.000066162|0.000154074,0.00,0.00,43524096,43524096,768,768,1536
133,1764450473.6316454,kem_handshake,0.000108590|0.000079196|0.000140139,0.00,0.00,43524096,43524096,768,768,1536
134,1764450473.6348283,kem_handshake,0.000058568|0.000048820|0.000082072,0.00,0.00,43524096,43524096,768,768,1536
135,1764450473.6382427,kem_handshake,0.000079868|0.000062796|0.000088112,0.00,0.00,43524096,43524096,768,768,1536
136,1764450473.6425242,kem_handshake,0.000094474|0.000059711|0.000098613,0.00,0.00,43524096,43524096,768,768,1536
137,1764450473.6459017,kem_handshake,0.000111296|0.000082422|0.000132605,0.00,0.00,43524096,43524096,768,768,1536
138,1764450473.6502488,kem_handshake,0.000100135|0.000075079|0.000124861,0.00,0.00,43524096,43524096,768,768,1536
139,1764450473.6538143,kem_handshake,0.000063007|0.000057566|0.000108741,0.00,0.00,43524096,43524096,768,768,1536
140,1764450473.6577232,kem_handshake,0.000072985|0.000074618|0.000119751,0.00,0.00,43524096,43524096,768,768,1536
141,1764450473.6600275,kem_handshake,0.000035225|0.000032019|0.000044563,0.00,0.00,43524096,43524096,768,768,1536
142,1764450473.6619184,kem_handshake,0.000071121|0.000035085|0.000045393,0.00,0.00,43524096,43524096,768,768,1536
143,1764450473.6643488,kem_handshake,0.000036528|0.000032500|0.000067986,0.00,0.00,43524096,43524096,768,768,1536
144,1764450473.6671083,kem_handshake,0.000068186|0.000054390|0.000066934,0.00,0.00,43528192,43528192,768,768,1536
145,1764450473.6717618,kem_handshake,0.000104362|0.000101247|0.000175343,0.00,0.00,43528192,43528192,768,768,1536
146,1764450473.6753573,kem_handshake,0.000069389|0.000096999|0.000089756,0.00,0.00,43528192,43528192,768,768,1536
147,1764450473.6778123,kem_handshake,0.000060261|0.000045293|0.000070640,0.00,0.00,43528192,43528192,768,768,1536
148,1764450473.6810365,kem_handshake,0.000070741|0.000056875|0.000099664,0.00,0.00,43528192,43528192,768,768,1536
149,1764450473.68443,kem_handshake,0.000067114|0.000049912|0.000085888,0.00,0.00,43589632,43589632,768,768,1536
150,1764450473.6863093,kem_handshake,0.000034514|0.000029104|0.000043240,0.00,0.00,43589632,43589632,768,768,1536
151,1764450473.6881359,kem_handshake,0.000069588|0.000033813|0.000051054,0.00,0.00,43589632,43589632,768,768,1536
152,1764450473.6907725,kem_handshake,0.000078966|0.000064930|0.000110605,0.00,0.00,43589632,43589632,768,768,1536
153,1764450473.6930203,kem_handshake,0.000041516|0.000035155|0.000048399,0.00,0.00,43589632,43589632,768,768,1536
154,1764450473.6949737,kem_handshake,0.000045875|0.000037229|0.000061103,0.00,0.00,43589632,43589632,768,768,1536
155,1764450473.6974592,kem_handshake,0.000050694|0.000040965|0.000065861,0.00,0.00,43589632,43589632,768,768,1536
156,1764450473.6998415,kem_handshake,0.000052487|0.000057005|0.000077874,0.00,0.00,43589632,43589632,768,768,1536
157,1764450473.7021892,kem_handshake,0.000043280|0.000049982|0.000078786,0.00,0.00,43589632,43589632,768,768,1536
158,1764450473.704738,kem_handshake,0.000097831|0.000086230|0.000115203,0.00,0.00,43589632,43589632,768,768,1536
159,1764450473.7083228,kem_handshake,0.000058568|0.000053118|0.000089164,0.00,0.00,43589632,43589632,768,768,1536
160,1764450473.7108567,kem_handshake,0.000041507|0.000031999|0.000043550,0.00,0.00,43589632,43589632,768,768,1536
161,1764450473.7139788,kem_handshake,0.000077903|0.000058448|0.000075309,0.00,0.00,43589632,43589632,768,768,1536
162,1764450473.7165558,kem_handshake,0.000055803|0.000056464|0.000077153,0.00,0.00,43593728,43593728,768,768,1536
163,1764450473.718895,kem_handshake,0.000077423|0.000054450|0.000095316,0.00,0.00,43593728,43593728,768,768,1536
164,1764450473.721878,kem_handshake,0.000074137|0.000061083|0.000110144,0.00,0.00,43593728,43593728,768,768,1536
165,1764450473.7245553,kem_handshake,0.000064199|0.000057576|0.000079977,0.00,0.00,43593728,43593728,768,768,1536
166,1764450473.7269733,kem_handshake,0.000047488|0.000038872|0.000056404,0.00,0.00,43593728,43593728,768,768,1536
167,1764450473.7288322,kem_handshake,0.000037760|0.000033642|0.000039784,0.00,0.00,43593728,43593728,768,768,1536
168,1764450473.731387,kem_handshake,0.000079957|0.000091559|0.000098352,0.00,0.00,43593728,43593728,768,768,1536
169,1764450473.7340975,kem_handshake,0.000038181|0.000035425|0.000059479,0.00,0.00,43593728,43593728,768,768,1536
170,1764450473.7360933,kem_handshake,0.000039233|0.000035115|0.000110564,0.00,0.00,43597824,43597824,768,768,1536
171,1764450473.7382455,kem_handshake,0.000037139|0.000038211|0.000049321,0.00,0.00,43597824,43597824,768,768,1536
172,1764450473.7410672,kem_handshake,0.000066453|0.000060562|0.000096659,0.00,0.00,43597824,43597824,768,768,1536
173,1764450473.7442498,kem_handshake,0.000050934|0.000045444|0.000055292,0.00,0.00,43597824,43597824,768,768,1536
174,1764450473.7479749,kem_handshake,0.000098382|0.000078084|0.000098302,0.00,0.00,43601920,43601920,768,768,1536
175,1764450473.7508745,kem_handshake,0.000051235|0.000042378|0.000127465,0.00,0.00,43601920,43601920,768,768,1536
176,1764450473.753139,kem_handshake,0.000059850|0.000058568|0.000081450,0.00,0.00,43601920,43601920,768,768,1536
177,1764450473.7566848,kem_handshake,0.000097119|0.000059720|0.000070390,0.00,0.00,43601920,43601920,768,768,1536
178,1764450473.7597716,kem_handshake,0.000128337|0.000070140|0.000079607,0.00,0.00,43601920,43601920,768,768,1536
179,1764450473.762544,kem_handshake,0.000067735|0.000047468|0.000104012,0.00,0.00,43606016,43606016,768,768,1536
180,1764450473.7663188,kem_handshake,0.000070269|0.000099303|0.000056374,0.00,0.00,43606016,43606016,768,768,1536
181,1764450473.769468,kem_handshake,0.000034393|0.000038651|0.000052627,0.00,7864.40,43606016,43606016,768,768,1536
182,1764450473.7720127,kem_handshake,0.000062194|0.000050202|0.000077052,0.00,0.00,43606016,43606016,768,768,1536
183,1764450473.7748728,kem_handshake,0.000055242|0.000040525|0.000065230,0.00,0.00,43606016,43606016,768,768,1536
184,1764450473.7766147,kem_handshake,0.000028723|0.000029455|0.000038691,0.00,0.00,43606016,43606016,768,768,1536
185,1764450473.7788262,kem_handshake,0.000049711|0.000046135|0.000060491,0.00,0.00,43606016,43606016,768,768,1536
186,1764450473.7815638,kem_handshake,0.000052888|0.000045384|0.000074347,0.00,0.00,43606016,43606016,768,768,1536
187,1764450473.7837431,kem_handshake,0.000053519|0.000053780|0.000073817,0.00,0.00,43606016,43606016,768,768,1536
188,1764450473.7866879,kem_handshake,0.000059480|0.000062726|0.000098943,0.00,0.00,43606016,43606016,768,768,1536
189,1764450473.7898932,kem_handshake,0.000081300|0.000071693|0.000127866,0.00,0.00,43606016,43606016,768,768,1536
190,1764450473.7922275,kem_handshake,0.000052827|0.000055663|0.000099785,0.00,0.00,43606016,43606016,768,768,1536
191,1764450473.7941992,kem_handshake,0.000040395|0.000036447|0.000049522,0.00,0.00,43606016,43606016,768,768,1536
192,1764450473.7964373,kem_handshake,0.000071833|0.000060201|0.000084887,0.00,4870.00,43606016,43606016,768,768,1536
193,1764450473.7994266,kem_handshake,0.000063097|0.000049562|0.000068817,0.00,0.00,43606016,43606016,768,768,1536
194,1764450473.8021927,kem_handshake,0.000049872|0.000052337|0.000082993,0.00,0.00,43606016,43606016,768,768,1536
195,1764450473.8055522,kem_handshake,0.000087832|0.000058528|0.000108100,0.00,0.00,43606016,43606016,768,768,1536
196,1764450473.808331,kem_handshake,0.000091228|0.000044432|0.000059229,0.00,0.00,43606016,43606016,768,768,1536
197,1764450473.8111308,kem_handshake,0.000049391|0.000056905|0.000087853,0.00,0.00,43606016,43606016,768,768,1536
198,1764450473.8136377,kem_handshake,0.000061925|0.000066914|0.000107619,0.00,0.00,43606016,43606016,768,768,1536
199,1764450473.8160963,kem_handshake,0.000037990|0.000044502|0.000091469,0.00,0.00,43606016,43606016,768,768,1536
200,1764450473.8182433,kem_handshake,0.000023092|0.000030326|0.000035856,0.00,0.00,43606016,43606016,768,768,1536
201,1764450473.8204153,kem_handshake,0.000054100|0.000052667|0.000094474,0.00,0.00,43606016,43606016,768,768,1536
202,1764450473.8236642,kem_handshake,0.000064249|0.000044252|0.000055983,0.00,0.00,43606016,43606016,768,768,1536
203,1764450473.8266132,kem_handshake,0.000062385|0.000067104|0.000081932,0.00,0.00,43606016,43606016,768,768,1536
204,1764450473.8302827,kem_handshake,0.000082383|0.000076040|0.000135620,0.00,0.00,43606016,43606016,768,768,1536
205,1764450473.8329103,kem_handshake,0.000042398|0.000039834|0.000055983,0.00,0.00,43606016,43606016,768,768,1536
206,1764450473.83535,kem_handshake,0.000067635|0.000081190|0.000082593,0.00,0.00,43606016,43606016,768,768,1536
207,1764450473.8372817,kem_handshake,0.000045775|0.000046175|0.000059710,0.00,0.00,43606016,43606016,768,768,1536
208,1764450473.8392396,kem_handshake,0.000034344|0.000039643|0.000045775,0.00,0.00,43606016,43606016,768,768,1536
209,1764450473.8411677,kem_handshake,0.000034073|0.000033151|0.000048941,0.00,0.00,43606016,43606016,768,768,1536
210,1764450473.843387,kem_handshake,0.000082242|0.000077563|0.000116124,0.00,4209.10,43606016,43606016,768,768,1536
211,1764450473.846653,kem_handshake,0.000101949|0.000067825|0.000095216,0.00,0.00,43606016,43606016,768,768,1536
212,1764450473.8502655,kem_handshake,0.000082963|0.000063397|0.000106045,0.00,0.00,43606016,43606016,768,768,1536
213,1764450473.8528788,kem_handshake,0.000069709|0.000049952|0.000060221,0.00,0.00,43606016,43606016,768,768,1536
214,1764450473.855568,kem_handshake,0.000053168|0.000042048|0.000058488,0.00,0.00,43606016,43606016,768,768,1536
215,1764450473.8594875,kem_handshake,0.000090317|0.000051335|0.000077823,0.00,0.00,43606016,43606016,768,768,1536
216,1764450473.8619294,kem_handshake,0.000042127|0.000034503|0.000048299,0.00,0.00,43606016,43606016,768,768,1536
217,1764450473.8661,kem_handshake,0.000104132|0.000077684|0.000120473,0.00,0.00,43606016,43606016,768,768,1536
218,1764450473.8692536,kem_handshake,0.000065461|0.000062726|0.000052767,0.00,0.00,43606016,43606016,768,768,1536
219,1764450473.8722587,kem_handshake,0.000085458|0.000079928|0.000134959,0.00,0.00,43606016,43606016,768,768,1536
220,1764450473.874979,kem_handshake,0.000054099|0.000057035|0.000076451,0.00,0.00,43606016,43606016,768,768,1536
