Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
79,1764450492.528995,rsa_handshake,0.000480918|0.000116034,0.00,0.00,44376064,44376064,512
80,1764450492.5474305,rsa_handshake,0.000252897|0.000053058,0.00,0.00,44376064,44376064,512
81,1764450492.6002307,rsa_handshake,0.000273685|0.000060812,0.00,0.00,44376064,44376064,512
82,1764450492.622597,rsa_handshake,0.000264539|0.000079277,0.00,0.00,44376064,44376064,512
83,1764450492.6433618,rsa_handshake,0.000439492|0.000075429,0.00,0.00,44376064,44376064,512
84,1764450492.6890476,rsa_handshake,0.000340919|0.000048290,0.00,0.00,44376064,44376064,512
85,1764450492.7167258,rsa_handshake,0.000342753|0.000058638,0.00,0.00,44376064,44376064,512
86,1764450492.7346804,rsa_handshake,0.000324789|0.000065000,0.00,0.00,44380160,44380160,512
87,1764450492.8022015,rsa_handshake,0.000253347|0.000059840,0.00,0.00,44380160,44380160,512
88,1764450492.8643732,rsa_handshake,0.000359854|0.000054932,0.00,1955.70,44380160,44380160,512
89,1764450492.9171982,rsa_handshake,0.000233130|0.000053578,0.00,0.00,44380160,44380160,512
90,1764450492.9322064,rsa_handshake,0.000234543|0.000070340,0.00,0.00,44380160,44380160,512
91,1764450492.974828,rsa_handshake,0.000240354|0.000052988,0.00,0.00,44380160,44380160,512
92,1764450493.0137951,rsa_handshake,0.000235716|0.000052006,0.00,0.00,44380160,44380160,512
93,1764450493.1094902,rsa_handshake,0.000276039|0.000072374,0.00,0.00,44380160,44380160,512
94,1764450493.1330328,rsa_handshake,0.000339947|0.000051254,0.00,0.00,44380160,44380160,512
95,1764450493.1529636,rsa_handshake,0.000229785|0.000050023,0.00,0.00,44380160,44380160,512
96,1764450493.1828117,rsa_handshake,0.000429583|0.000086179,0.00,0.00,44384256,44384256,512
97,1764450493.206628,rsa_handshake,0.000470288|0.000037700,0.00,0.00,44384256,44384256,512
98,1764450493.2662723,rsa_handshake,0.000307829|0.000048700,0.00,0.00,44384256,44384256,512
99,1764450493.2969258,rsa_handshake,0.000252787|0.000056875,0.00,0.00,44384256,44384256,512
100,1764450493.3791752,rsa_handshake,0.000420437|0.000078766,0.00,1652.70,44384256,44384256,512
101,1764450493.4344225,rsa_handshake,0.000237939|0.000062416,0.00,0.00,44384256,44384256,512
102,1764450493.5013092,rsa_handshake,0.000427750|0.000100175,0.00,0.00,44384256,44384256,512
103,1764450493.5414474,rsa_handshake,0.000573018|0.000117146,0.00,0.00,44384256,44384256,512
104,1764450493.5842445,rsa_handshake,0.000253879|0.000082953,0.00,2545.80,44384256,44384256,512
105,1764450493.6075246,rsa_handshake,0.000438600|0.000085137,0.00,0.00,44384256,44384256,512
106,1764450493.6209087,rsa_handshake,0.000423071|0.000083795,0.00,0.00,44388352,44388352,512
107,1764450493.6424952,rsa_handshake,0.000450181|0.000089455,0.00,0.00,44388352,44388352,512
108,1764450493.6726198,rsa_handshake,0.000448608|0.000086480,0.00,0.00,44388352,44388352,512
109,1764450493.692307,rsa_handshake,0.000288903|0.000049121,0.00,0.00,44388352,44388352,512
110,1764450493.7162087,rsa_handshake,0.000370264|0.000055813,0.00,0.00,44388352,44388352,512
111,1764450493.7524152,rsa_handshake,0.000244371|0.000052306,0.00,0.00,44388352,44388352,512
112,1764450493.8277762,rsa_handshake,0.000543614|0.000047177,0.00,0.00,44388352,44388352,512
113,1764450493.864917,rsa_handshake,0.000426287|0.000084345,0.00,0.00,44388352,44388352,512
114,1764450493.87549,rsa_handshake,0.000444070|0.000087482,0.00,0.00,44388352,44388352,512
115,1764450493.9163604,rsa_handshake,0.000443179|0.000084386,0.00,0.00,44388352,44388352,512
116,1764450493.9476209,rsa_handshake,0.000440363|0.000088855,0.00,1631.70,44392448,44392448,512
117,1764450493.9837334,rsa_handshake,0.000438510|0.000085288,0.00,0.00,44392448,44392448,512
118,1764450494.0291345,rsa_handshake,0.000468856|0.000086640,0.00,0.00,44392448,44392448,512
119,1764450494.0578876,rsa_handshake,0.000471141|0.000127736,0.00,0.00,44396544,44396544,512
120,1764450494.0882406,rsa_handshake,0.000485637|0.000076341,0.00,0.00,44396544,44396544,512
121,1764450494.1159499,rsa_handshake,0.000237288|0.000048810,0.00,0.00,44396544,44396544,512
122,1764450494.192787,rsa_handshake,0.000320011|0.000065842,0.00,0.00,44396544,44396544,512
123,1764450494.2607872,rsa_handshake,0.000428541|0.000087462,0.00,0.00,44396544,44396544,512
124,1764450494.2773986,rsa_handshake,0.000433471|0.000089696,0.00,0.00,44396544,44396544,512
125,1764450494.289782,rsa_handshake,0.000242688|0.000053058,0.00,0.00,44396544,44396544,512
126,1764450494.3531415,rsa_handshake,0.000526241|0.000103190,0.00,0.00,44396544,44396544,512
127,1764450494.4125676,rsa_handshake,0.000254720|0.000059761,0.00,0.00,44396544,44396544,512
