Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
0,1764562564.604958,server_kem_keygen,0.001171324,0.00,0.00,39895040,40591360,,800,800
118,1764562605.1431823,kem_handshake,0.000032320|0.000018334|0.000043140,0.00,0.00,42971136,42971136,768,768,1536
119,1764562605.144383,kem_handshake,0.000024926|0.000018494|0.000038411,0.00,0.00,42971136,42971136,768,768,1536
120,1764562605.1454525,kem_handshake,0.000018595|0.000015538|0.000032561,0.00,0.00,42971136,42971136,768,768,1536
121,1764562605.1465082,kem_handshake,0.000018765|0.000015498|0.000032601,0.00,0.00,42971136,42971136,768,768,1536
122,1764562605.1475625,kem_handshake,0.000018243|0.000015218|0.000032550,0.00,0.00,42971136,42971136,768,768,1536
123,1764562605.1486318,kem_handshake,0.000022492|0.000018685|0.000040305,0.00,0.00,42971136,42971136,768,768,1536
124,1764562605.149738,kem_handshake,0.000019787|0.000015869|0.000032580,0.00,0.00,42971136,42971136,768,768,1536
125,1764562605.1509004,kem_handshake,0.000025738|0.000021359|0.000033712,0.00,0.00,42971136,42971136,768,768,1536
126,1764562605.1527262,kem_handshake,0.000023093|0.000016350|0.000034494,0.00,0.00,42971136,42971136,768,768,1536
127,1764562605.1540563,kem_handshake,0.000019867|0.000016531|0.000032941,0.00,0.00,42975232,42975232,768,768,1536
128,1764562605.155396,kem_handshake,0.000020157|0.000015819|0.000032621,0.00,0.00,42975232,42975232,768,768,1536
129,1764562605.1564686,kem_handshake,0.000018645|0.000015408|0.000032630,0.00,0.00,42975232,42975232,768,768,1536
130,1764562605.158022,kem_handshake,0.000019085|0.000015349|0.000032090,0.00,0.00,42975232,42975232,768,768,1536
131,1764562605.1594503,kem_handshake,0.000034664|0.000030326|0.000063397,0.00,0.00,42975232,42975232,768,768,1536
132,1764562605.1606758,kem_handshake,0.000030957|0.000018194|0.000048600,0.00,0.00,42975232,42975232,768,768,1536
133,1764562605.1619182,kem_handshake,0.000020769|0.000016050|0.000033612,0.00,0.00,42979328,42979328,768,768,1536
134,1764562605.1630092,kem_handshake,0.000019686|0.000015469|0.000032550,0.00,0.00,42979328,42979328,768,768,1536
135,1764562605.1640701,kem_handshake,0.000019165|0.000015819|0.000032560,0.00,0.00,42979328,42979328,768,768,1536
136,1764562605.1651938,kem_handshake,0.000018674|0.000015229|0.000032670,0.00,0.00,42979328,42979328,768,768,1536
137,1764562605.1662648,kem_handshake,0.000018664|0.000015298|0.000032560,0.00,0.00,42983424,42983424,768,768,1536
138,1764562605.167444,kem_handshake,0.000021961|0.000016931|0.000035365,0.00,0.00,42983424,42983424,768,768,1536
139,1764562605.1687477,kem_handshake,0.000022141|0.000016931|0.000034443,0.00,0.00,42983424,42983424,768,768,1536
140,1764562605.1699216,kem_handshake,0.000021129|0.000022111|0.000035035,0.00,0.00,42983424,42983424,768,768,1536
141,1764562605.1710072,kem_handshake,0.000019315|0.000015688|0.000032991,0.00,0.00,42983424,42983424,768,768,1536
142,1764562605.1720738,kem_handshake,0.000018945|0.000015438|0.000032740,0.00,0.00,42983424,42983424,768,768,1536
143,1764562605.173158,kem_handshake,0.000019736|0.000015679|0.000032891,0.00,0.00,42983424,42983424,768,768,1536
144,1764562605.1743174,kem_handshake,0.000024064|0.000019216|0.000040475,0.00,0.00,42983424,42983424,768,768,1536
145,1764562605.1754138,kem_handshake,0.000019306|0.000015870|0.000032881,0.00,0.00,42987520,42987520,768,768,1536
146,1764562605.1766067,kem_handshake,0.000021350|0.000017121|0.000035085,0.00,0.00,42987520,42987520,768,768,1536
147,1764562605.1778278,kem_handshake,0.000020488|0.000015889|0.000033602,0.00,0.00,42987520,42987520,768,768,1536
148,1764562605.1789749,kem_handshake,0.000020367|0.000016451|0.000035586,0.00,0.00,42987520,42987520,768,768,1536
149,1764562605.1800566,kem_handshake,0.000019405|0.000015919|0.000032680,0.00,0.00,42987520,42987520,768,768,1536
150,1764562605.1811035,kem_handshake,0.000018765|0.000015338|0.000032570,0.00,0.00,42987520,42987520,768,768,1536
151,1764562605.1822605,kem_handshake,0.000024435|0.000019887|0.000038231,0.00,0.00,42987520,42987520,768,768,1536
152,1764562605.1833687,kem_handshake,0.000019907|0.000015879|0.000033061,0.00,0.00,42987520,42987520,768,768,1536
153,1764562605.1845143,kem_handshake,0.000021409|0.000016281|0.000033502,0.00,0.00,42987520,42987520,768,768,1536
154,1764562605.1857133,kem_handshake,0.000020948|0.000015739|0.000033231,0.00,0.00,42991616,42991616,768,768,1536
155,1764562605.1868985,kem_handshake,0.000024666|0.000020428|0.000034534,0.00,0.00,42991616,42991616,768,768,1536
156,1764562605.1879992,kem_handshake,0.000019376|0.000016150|0.000032690,0.00,0.00,42991616,42991616,768,768,1536
157,1764562605.189092,kem_handshake,0.000019056|0.000015659|0.000032640,0.00,0.00,42991616,42991616,768,768,1536
158,1764562605.1901748,kem_handshake,0.000018384|0.000027361|0.000032580,0.00,0.00,42991616,42991616,768,768,1536
159,1764562605.1912415,kem_handshake,0.000018604|0.000015188|0.000033322,0.00,0.00,42991616,42991616,768,768,1536
160,1764562605.1923568,kem_handshake,0.000020487|0.000018965|0.000032871,0.00,0.00,42991616,42991616,768,768,1536
161,1764562605.193547,kem_handshake,0.000022642|0.000018274|0.000062896,0.00,0.00,42991616,42991616,768,768,1536
162,1764562605.1947496,kem_handshake,0.000020518|0.000016370|0.000034264,0.00,0.00,42991616,42991616,768,768,1536
163,1764562605.1958544,kem_handshake,0.000019216|0.000015769|0.000038221,0.00,0.00,42995712,42995712,768,768,1536
164,1764562605.1969311,kem_handshake,0.000018805|0.000022552|0.000037008,0.00,0.00,42995712,42995712,768,768,1536
165,1764562605.1979952,kem_handshake,0.000019036|0.000015538|0.000032821,0.00,0.00,42995712,42995712,768,768,1536
166,1764562605.1990569,kem_handshake,0.000018494|0.000015359|0.000032450,0.00,0.00,42995712,42995712,768,768,1536
167,1764562605.200107,kem_handshake,0.000018033|0.000015097|0.000032580,0.00,0.00,42995712,42995712,768,768,1536
168,1764562605.2012432,kem_handshake,0.000024325|0.000020037|0.000040304,0.00,0.00,42995712,42995712,768,768,1536
169,1764562605.2024758,kem_handshake,0.000020858|0.000016751|0.000033702,0.00,0.00,42995712,42995712,768,768,1536
