Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,ciphertext_bytes
70,1764562628.102885,0.010696723,0.000046666,0.000700444,0.000033452,0.000215849,512
71,1764562628.1433287,0.036669248,0.000047448,0.001106644,0.000086830,0.000432248,512
72,1764562628.1575015,0.011499827,0.000043961,0.000433722,0.000032229,0.000304954,512
73,1764562628.1921697,0.031789453,0.000049190,0.000440063,0.000084786,0.000429513,512
74,1764562628.2568297,0.061431979,0.000057567,0.000440804,0.000064098,0.000421098,512
75,1764562628.276381,0.016774211,0.000044943,0.000445203,0.000065190,0.000366297,512
76,1764562628.3472269,0.067507785,0.000072293,0.000452617,0.000035536,0.000281761,512
77,1764562628.361229,0.010942667,0.000041577,0.000448008,0.000092601,0.000510132,512
78,1764562628.3911996,0.027375648,0.000043700,0.000439672,0.000062826,0.000416820,512
79,1764562628.4053195,0.010865084,0.000048530,0.000738454,0.000040886,0.000243440,512
80,1764562628.4203057,0.012206703,0.000063087,0.000444892,0.000040314,0.000222390,512
81,1764562628.4352965,0.011294598,0.000055542,0.000725320,0.000050864,0.000362088,512
82,1764562628.4831796,0.043749430,0.000101728,0.000645794,0.000039834,0.000416700,512
83,1764562628.506398,0.019943707,0.000056945,0.000454770,0.000064640,0.000430235,512
84,1764562628.5210793,0.011772450,0.000048129,0.000440774,0.000037720,0.000417000,512
85,1764562628.5414746,0.017762157,0.000050393,0.000435976,0.000033301,0.000342783,512
86,1764562628.5786598,0.034292057,0.000107840,0.000446866,0.000039112,0.000235294,512
87,1764562628.657667,0.076282978,0.000064129,0.000445163,0.000035275,0.000230126,512
88,1764562628.6762218,0.015876152,0.000053038,0.000453277,0.000034284,0.000230596,512
89,1764562628.6900783,0.011430018,0.000056665,0.000442889,0.000034323,0.000218143,512
90,1764562628.738359,0.044860522,0.000087462,0.000462514,0.000038331,0.000256123,512
91,1764562628.7713099,0.029303410,0.000076812,0.000469176,0.000041397,0.000247938,512
92,1764562628.799196,0.025315412,0.000074618,0.000445032,0.000033722,0.000220868,512
93,1764562628.8501952,0.048487313,0.000056224,0.000452416,0.000033933,0.000227110,512
94,1764562628.889039,0.035951994,0.000060201,0.000450663,0.000039984,0.000260001,512
95,1764562628.9364438,0.044022614,0.000080038,0.000471862,0.000036497,0.000238581,512
96,1764562628.9558039,0.015569726,0.000076812,0.000458848,0.000044392,0.000283333,512
97,1764562629.0140624,0.054895092,0.000080870,0.000457375,0.000033822,0.000475458,512
98,1764562629.0330548,0.016018967,0.000071242,0.000448920,0.000035115,0.000244562,512
99,1764562629.0466442,0.010582683,0.000052667,0.000453368,0.000040314,0.000233311,512
100,1764562629.0694003,0.020175817,0.000044062,0.000442387,0.000037770,0.000231888,512
