Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
0,1764562564.6322927,server_rsa_keygen,0.023671224,0.00,84.10,42201088,42291200,
77,1764562628.360266,rsa_handshake,0.000510132|0.000092601,0.00,0.00,43696128,43696128,512
78,1764562628.3903494,rsa_handshake,0.000416820|0.000062826,0.00,0.00,43696128,43696128,512
79,1764562628.4038646,rsa_handshake,0.000243440|0.000040886,0.00,0.00,43696128,43696128,512
80,1764562628.419323,rsa_handshake,0.000222390|0.000040314,0.00,0.00,43696128,43696128,512
81,1764562628.433923,rsa_handshake,0.000362088|0.000050864,0.00,1834.10,43696128,43696128,512
82,1764562628.481829,rsa_handshake,0.000416700|0.000039834,0.00,0.00,43696128,43696128,512
83,1764562628.505261,rsa_handshake,0.000430235|0.000064640,0.00,0.00,43696128,43696128,512
84,1764562628.5201151,rsa_handshake,0.000417000|0.000037720,0.00,0.00,43696128,43696128,512
85,1764562628.5406203,rsa_handshake,0.000342783|0.000033301,0.00,0.00,43696128,43696128,512
86,1764562628.5776749,rsa_handshake,0.000235294|0.000039112,0.00,0.00,43696128,43696128,512
87,1764562628.6567101,rsa_handshake,0.000230126|0.000035275,0.00,0.00,43696128,43696128,512
88,1764562628.6752775,rsa_handshake,0.000230596|0.000034284,0.00,0.00,43696128,43696128,512
89,1764562628.6892536,rsa_handshake,0.000218143|0.000034323,0.00,0.00,43696128,43696128,512
90,1764562628.7371585,rsa_handshake,0.000256123|0.000038331,0.00,0.00,43696128,43696128,512
91,1764562628.7700994,rsa_handshake,0.000247938|0.000041397,0.00,0.00,43696128,43696128,512
92,1764562628.7983236,rsa_handshake,0.000220868|0.000033722,0.00,0.00,43696128,43696128,512
93,1764562628.8491979,rsa_handshake,0.000227110|0.000033933,0.00,0.00,43696128,43696128,512
94,1764562628.8880394,rsa_handshake,0.000260001|0.000039984,0.00,0.00,43696128,43696128,512
95,1764562628.9350758,rsa_handshake,0.000238581|0.000036497,0.00,0.00,43696128,43696128,512
96,1764562628.9545388,rsa_handshake,0.000283333|0.000044392,0.00,0.00,43696128,43696128,512
97,1764562629.0130901,rsa_handshake,0.000475458|0.000033822,0.00,0.00,43696128,43696128,512
98,1764562629.0320954,rsa_handshake,0.000244562|0.000035115,0.00,0.00,43696128,43696128,512
99,1764562629.045578,rsa_handshake,0.000233311|0.000040314,0.00,0.00,43696128,43696128,512
100,1764562629.0684822,rsa_handshake,0.000231888|0.000037770,0.00,0.00,43696128,43696128,512
101,1764562629.0878165,rsa_handshake,0.000244291|0.000039152,0.00,0.00,43696128,43696128,512
102,1764562629.1147265,rsa_handshake,0.000220006|0.000034082,0.00,0.00,43696128,43696128,512
103,1764562629.1636388,rsa_handshake,0.000246716|0.000038601,0.00,0.00,43696128,43696128,512
104,1764562629.2007704,rsa_handshake,0.000233572|0.000034053,0.00,0.00,43696128,43696128,512
105,1764562629.2784507,rsa_handshake,0.000237158|0.000037850,0.00,0.00,43696128,43696128,512
106,1764562629.307844,rsa_handshake,0.000219876|0.000033622,0.00,0.00,43696128,43696128,512
107,1764562629.3712015,rsa_handshake,0.000238801|0.000036898,0.00,0.00,43696128,43696128,512
